pair_id,kind,label,concurrency,baseline_case,comparison_case,metric,baseline_value,comparison_value,absolute_change,percent_change
precision-4-c32,precision,TP=EP=DP4: W4A16 / W4A4 - 1,32,w4a4-tp4-ep4-dp4-c32,w4a16-tp4-ep4-dp4-c32,duration_s,739.7185411113314,780.9569979058579,41.2384567945265,5.5748848383022891758407776922936423225711461369600
precision-4-c32,precision,TP=EP=DP4: W4A16 / W4A4 - 1,32,w4a4-tp4-ep4-dp4-c32,w4a16-tp4-ep4-dp4-c32,output_tok_s,3208.7380105871466929313025515614160915172942252219,3039.3005074091494757289605475294343629936596877059,-169.4375031779972172023420040319817285236345375160,-5.2805028836552760239474329686127758205637345509470
precision-4-c32,precision,TP=EP=DP4: W4A16 / W4A4 - 1,32,w4a4-tp4-ep4-dp4-c32,w4a16-tp4-ep4-dp4-c32,output_tok_s_gpu,802.18450264678667323282563789035402287932355630548,759.82512685228736893224013688235859074841492192648,-42.35937579449930430058550100799543213090863437900,-5.2805028836552760239474329686127758205637345509470
precision-4-c32,precision,TP=EP=DP4: W4A16 / W4A4 - 1,32,w4a4-tp4-ep4-dp4-c32,w4a16-tp4-ep4-dp4-c32,interactivity_tok_s_user,106.91387878876645058704872918831426707677540193655,99.862147235743927455772627924647407207357676676166,-7.051731553022523131276101263666859869417725260384,-6.5957120187874576486159214393223152128096550995810
precision-4-c32,precision,TP=EP=DP4: W4A16 / W4A4 - 1,32,w4a4-tp4-ep4-dp4-c32,w4a16-tp4-ep4-dp4-c32,mean_ttft_ms,1971.4945357161923,1670.3021925903158,-301.1923431258765,-15.277361294661728025761552153252798497760951572941
precision-4-c32,precision,TP=EP=DP4: W4A16 / W4A4 - 1,32,w4a4-tp4-ep4-dp4-c32,w4a16-tp4-ep4-dp4-c32,median_ttft_ms,279.818695737049,371.92091648466885,92.10222074761985,32.914963206808052204608172912270035292617895875800
precision-4-c32,precision,TP=EP=DP4: W4A16 / W4A4 - 1,32,w4a4-tp4-ep4-dp4-c32,w4a16-tp4-ep4-dp4-c32,std_ttft_ms,3182.350491679036,2241.3090530878435,-941.0414385911925,-29.570640979105063708116999473486047626399529782014
precision-4-c32,precision,TP=EP=DP4: W4A16 / W4A4 - 1,32,w4a4-tp4-ep4-dp4-c32,w4a16-tp4-ep4-dp4-c32,p90_ttft_ms,6603.872660268099,4646.503241406755,-1957.369418861344,-29.639720805608026441221126410867991696007763767857
precision-4-c32,precision,TP=EP=DP4: W4A16 / W4A4 - 1,32,w4a4-tp4-ep4-dp4-c32,w4a16-tp4-ep4-dp4-c32,p99_ttft_ms,14605.671539828183,10089.80596904643,-4515.865570781753,-30.918575420975654562276002958774367727590821581618
precision-4-c32,precision,TP=EP=DP4: W4A16 / W4A4 - 1,32,w4a4-tp4-ep4-dp4-c32,w4a16-tp4-ep4-dp4-c32,p99.9_ttft_ms,20248.82870850348,12443.286848672296,-7805.541859831184,-38.548115410513857108633825637226830625040271604282
